"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.262157379116426,22667
2013,2,0.249076267713124,23573
2013,3,0.252408758438934,23583
2013,4,0.26588052457434,23230
2014,1,0.275167929158845,23616
2014,2,0.284582692197481,24202
2014,3,0.217591051335792,24957
2014,4,0.220175368216944,25295
2015,1,0.194482478005592,25403
2015,2,0.17945817094223,25620
2015,3,0.167884542264666,25838
2015,4,0.121818820677028,25929
2016,1,0.119690448535698,25527
2016,2,0.133987457719281,26354
2016,3,0.147152134054305,26995
2016,4,0.154959187059042,27025
2017,1,0.170598604765023,26655
2017,2,0.201239189700706,26824
2017,3,0.21130036791254,27605
2017,4,0.216194835672705,27467
2018,1,0.208560407877381,26528
2018,2,0.197094495403449,26806
2018,3,0.195504515236474,26668
2018,4,0.192480953059237,26997
2019,1,0.185297951984542,26131
2019,2,0.205932610402806,25967
2019,3,0.213901393560423,26477
2019,4,0.225073843166779,25375
2020,1,0.18366880464385,23580
2020,2,0.170032652690364,19654
2020,3,0.153333414499448,19368
2020,4,0.120057493333208,19405
2021,1,0.0742008343078365,15697
2021,2,0.102601354709459,8448
2021,3,0.0692096569961234,11895
2021,4,0.0681971954301854,10642
2022,1,0.220472767036888,9965
2022,2,0.2125430482618,12973
2022,3,0.263722174329926,18170
2022,4,0.320697032558815,20551
2023,1,0.295149070207784,21492
2023,2,0.280224226227894,22794
2023,3,0.278789017900341,22814
2023,4,0.212380377648212,22046
2024,1,0.240706262344621,22257
2024,2,0.252511682057361,23494
2024,3,0.241511501140916,24249
2024,4,0.259745372146723,23365
2025,1,0.229131940326947,23329
2025,2,0.265161478937882,24020
