"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.0120573247682751,1256
2013,2,0.0115953522594701,1229
2013,3,0.0138693399658277,1264
2013,4,0.0073115638812322,1249
2014,1,0.00892806017724296,1179
2014,2,-0.00255795614906674,1243
2014,3,-0.027008326101802,1342
2014,4,-0.0381087432546004,1398
2015,1,-0.0281069326346669,1446
2015,2,-0.0472864292799829,1354
2015,3,-0.077002538688537,1529
2015,4,-0.0810173528235779,1304
2016,1,-0.0818752954804322,1374
2016,2,-0.0386376072334691,1349
2016,3,-0.0709337506007653,1488
2016,4,-0.029543020453546,1314
2017,1,-0.0163302206197803,1410
2017,2,0.00718709334285089,1401
2017,3,-0.0193878168947211,1351
2017,4,-0.0201455206220443,1258
2018,1,-0.0178977368559969,1232
2018,2,-0.020648319847503,1239
2018,3,-0.032054530543705,1203
2018,4,-0.0359954510345786,1233
2019,1,-0.0333470987093547,1177
2019,2,-0.0397993266130589,1214
2019,3,-0.0278729426108444,1220
2019,4,-0.028380630086366,1183
2020,1,-0.0303582820186635,1075
2020,2,-0.0140851672143464,946
2020,3,-0.0225177340499982,892
2020,4,-0.0360220606350386,921
2021,1,-0.0502666767374189,954
2021,2,-0.0737353488256905,547
2021,3,-0.0883598455605112,718
2021,4,-0.0921848273023601,699
2022,1,-0.0483658092150094,634
2022,2,-0.0174046415396929,784
2022,3,0.00834567119728197,1166
2022,4,0.0408955853911747,1251
2023,1,0.0182531934138113,1356
2023,2,0.020212725656133,1489
2023,3,0.0322713507836113,1375
2023,4,-0.0228725706947763,1344
2024,1,0.0227488214930924,1332
2024,2,0.0239600083042579,1515
2024,3,0.0169808930205876,1453
2024,4,-0.0195487241507135,812
2025,1,0.0170840018303349,775
2025,2,0.0165201047867746,749
2025,3,0.00533128894254372,763
