"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.090032154340836,2307
2013,2,0.090032154340836,2476
2013,3,0.0869565217391304,2362
2013,4,0.0769230769230769,2255
2014,1,0.0678466076696165,2285
2014,2,0.0666666666666667,2343
2014,3,0.0666666666666667,2451
2014,4,0.0342857142857143,2430
2015,1,0.0473389355742297,2430
2015,2,0.037037037037037,2645
2015,3,0,2584
2015,4,0.0416666666666667,2443
2016,1,0.0152284263959391,2433
2016,2,0.0479059093516925,2384
2016,3,0.0516605166051661,2501
2016,4,0.0625,2410
2017,1,0.0476190476190476,2342
2017,2,0.0411111111111111,2462
2017,3,0.0170516304347826,2480
2017,4,0.0411111111111111,2470
2018,1,0.00591715976331361,2361
2018,2,0,2530
2018,3,0,2430
2018,4,0,2396
2019,1,0,2420
2019,2,0,2356
2019,3,0,2381
2019,4,0,2195
2020,1,0,2078
2020,2,0,1834
2020,3,0,1800
2020,4,0,1788
2021,1,0,1563
2021,2,0,799
2021,3,0,1136
2021,4,0,989
2022,1,0.0344827586206897,856
2022,2,0.101818181818182,1156
2022,3,0.101818181818182,1463
2022,4,0.101818181818182,1694
2023,1,0.0742574257425743,1795
2023,2,0.0722222222222222,1979
2023,3,0.0555555555555556,2002
2023,4,0.056,1941
2024,1,0.0666666666666667,1923
2024,2,0.0685950413223141,1994
2024,3,0.0696969696969697,2009
2024,4,0.0415229885057471,2030
2025,1,0.0625,1975
2025,2,0.075070821529745,2065
