"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.090032154340836,6225
2013,2,0.090032154340836,6213
2013,3,0.090032154340836,6239
2013,4,0.090032154340836,6207
2014,1,0.0678466076696165,6072
2014,2,0.0678466076696165,6422
2014,3,0.0678466076696165,6711
2014,4,0.0678466076696165,7095
2015,1,0.0883977900552486,6913
2015,2,0.0883977900552486,6996
2015,3,0.0883977900552486,7192
2015,4,0.0883977900552486,7167
2016,1,0.0714285714285714,7042
2016,2,0.1,7317
2016,3,0.1,7429
2016,4,0.1,7320
2017,1,0.0647727272727273,7217
2017,2,0.0647727272727273,7233
2017,3,0.0647727272727273,7231
2017,4,0.0647727272727273,7135
2018,1,0.0181430096051227,6784
2018,2,0.0181430096051227,6923
2018,3,0.0181430096051227,7141
2018,4,0.0181430096051227,7104
2019,1,0.021,6805
2019,2,0.0461215932914046,6812
2019,3,0.0461215932914046,6642
2019,4,0.0384615384615385,6287
2020,1,0.034608378870674,5677
2020,2,0.0373898805039925,4120
2020,3,0,4204
2020,4,0.00200400801603206,4262
2021,1,0,3439
2021,2,0,1687
2021,3,0,2791
2021,4,0,2435
2022,1,0.101818181818182,2397
2022,2,0.101818181818182,3108
2022,3,0.101818181818182,4605
2022,4,0.101818181818182,5265
2023,1,0.0742574257425743,5470
2023,2,0.08,5739
2023,3,0.0891089108910891,5768
2023,4,0.0891089108910891,5761
2024,1,0.0844854070660522,5692
2024,2,0.0696969696969697,5982
2024,3,0.0696969696969697,6031
2024,4,0.0696969696969697,5813
2025,1,0.075070821529745,5791
2025,2,0.075070821529745,6006
