"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.0785267134039187,14028
2013,2,0.090032154340836,14695
2013,3,0.0718113612004287,14771
2013,4,0.0769230769230769,14507
2014,1,0.0678466076696165,14724
2014,2,0.0678466076696165,15005
2014,3,0.0588235294117647,15402
2014,4,0.0324483775811209,15659
2015,1,0.04,15859
2015,2,0.0294117647058824,15785
2015,3,0,15939
2015,4,0,16088
2016,1,0,15766
2016,2,0.0109126984126984,16160
2016,3,0,16636
2016,4,0.0152284263959391,16766
2017,1,0.0218978102189781,16460
2017,2,0.00301659125188537,16443
2017,3,0,16859
2017,4,0,16666
2018,1,0,16170
2018,2,0,16163
2018,3,0,16104
2018,4,0,16249
2019,1,0,15845
2019,2,0,15597
2019,3,0,16062
2019,4,0,15151
2020,1,0,14167
2020,2,0,11718
2020,3,0,11670
2020,4,0,11615
2021,1,0,9484
2021,2,0,5045
2021,3,0,7095
2021,4,0,6330
2022,1,0.0606060606060606,6079
2022,2,0.101818181818182,7838
2022,3,0.101818181818182,11048
2022,4,0.101818181818182,12449
2023,1,0.0742574257425743,12954
2023,2,0.0742574257425743,13689
2023,3,0.0666666666666667,13624
2023,4,0.04,13087
2024,1,0.0625,13307
2024,2,0.0696969696969697,13892
2024,3,0.0696969696969697,14324
2024,4,0.0666666666666667,13756
2025,1,0.0625,13822
2025,2,0.0690140845070423,14101
2025,3,0.0666666666666667,14204
