"ano_final","trimestre","percentual_zero","percentual_menor_igual_zero"
2013,1,0.126130498080911,0.43256716812988
2013,2,0.133160819581725,0.435031603953676
2013,3,0.136454225501421,0.44650807785269
2013,4,0.130434782608696,0.445544554455446
2014,1,0.133468834688347,0.436060298102981
2014,2,0.140277663003058,0.445004545078919
2014,3,0.146491966181833,0.451456505188925
2014,4,0.158845621664361,0.469104566119787
2015,1,0.174388851710428,0.472188324213676
2015,2,0.175019516003123,0.474707259953162
2015,3,0.177297004412106,0.487886059292515
2015,4,0.160283852057542,0.491881676886883
2016,1,0.168135699455479,0.493242449171465
2016,2,0.160165439781437,0.479927145784321
2016,3,0.152620855714021,0.475087979255418
2016,4,0.153524514338575,0.474190564292322
2017,1,0.162558619395986,0.477396360907897
2017,2,0.168990456307784,0.48497614076946
2017,3,0.173120811447202,0.491360260822315
2017,4,0.164815960971347,0.491389667601121
2018,1,0.177548250904704,0.499057599517491
2018,2,0.175893456688801,0.501790643885697
2018,3,0.177253637318134,0.508174591270437
2018,4,0.188243138126458,0.518650220394859
2019,1,0.198844284566224,0.521258275611343
2019,2,0.177918126853314,0.505834328185774
2019,3,0.186425954602107,0.513653359519583
2019,4,0.198029556650246,0.521931034482759
2020,1,0.205937234944869,0.523918575063613
2020,2,0.21995522539941,0.539635697567925
2020,3,0.231774060305659,0.553025609252375
2020,4,0.230146869363566,0.569389332646225
2021,1,0.438427725043002,0.671019940115946
2021,2,0.460700757575758,0.633641098484849
2021,3,0.458259773013871,0.643463640184952
2021,4,0.459594061266679,0.649032136816388
2022,1,0.169091821374812,0.467937782237832
2022,2,0.125028906189779,0.418715794342095
2022,3,0.116620803522289,0.420088057237204
2022,4,0.11692861661233,0.41302126417206
2023,1,0.136702028661828,0.432672622371115
2023,2,0.136307800298324,0.437790646661402
2023,3,0.149513456649426,0.453581134391163
2023,4,0.146239680667695,0.467658532160029
2024,1,0.14399964056252,0.452172350271825
2024,2,0.145271133055248,0.442495956414404
2024,3,0.144871953482618,0.45164749061817
2024,4,0.147271560025679,0.457650331692703
2025,1,0.150242187834884,0.452226842127824
2025,2,0.142589508742714,0.434845961698585
