"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.0154081678443788,14104
2013,2,0.0115847527817249,14670
2013,3,0.0139914693894872,14909
2013,4,0.0220913931574091,14691
2014,1,0.0107512583966858,14933
2014,2,0.0015891860549922,15495
2014,3,-0.00220837543653159,15940
2014,4,-0.0101529563312196,16143
2015,1,-0.0191890510646187,16371
2015,2,-0.0241457981813915,16450
2015,3,-0.0443006671207555,16438
2015,4,-0.0652927618678326,16594
2016,1,-0.0793961367061309,16319
2016,2,-0.0455415297617219,17141
2016,3,-0.0294914114114252,17566
2016,4,-0.0104831055560019,17531
2017,1,-0.0106961502458766,17405
2017,2,0.000332712462465733,17408
2017,3,0.00188374124365775,18009
2017,4,0.000853409289246663,17766
2018,1,-0.00949566797199763,17314
2018,2,-0.0174858368160531,17514
2018,3,-0.0293487135025878,17473
2018,4,-0.030985837498726,17682
2019,1,-0.0334785564825937,17046
2019,2,-0.0357505237022361,17043
2019,3,-0.0259885098820649,17472
2019,4,-0.0258521581906751,16854
2020,1,-0.0303582820186635,15519
2020,2,-0.01475579995896,12972
2020,3,-0.0222836286558589,12796
2020,4,-0.0361990709203356,12889
2021,1,-0.049708184840889,10576
2021,2,-0.0737353488256905,5824
2021,3,-0.0883598455605112,8109
2021,4,-0.0904156656239411,7298
2022,1,-0.0518629698066521,6635
2022,2,-0.0202844550206465,8401
2022,3,0.00834567119728197,12050
2022,4,0.0343133006596787,13419
2023,1,0.0208818865621281,14168
2023,2,0.0411607889681804,15104
2023,3,0.0313568098556193,15091
2023,4,0.00824030984769843,14590
2024,1,0.0277625918515106,14563
2024,2,0.0268689856005767,15680
2024,3,0.0198700432848506,16189
2024,4,0.00927366571487293,15471
2025,1,0.0153561316762206,15341
2025,2,0.0172875859366873,15886
2025,3,0.0137621876607603,15957
