"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.090032154340836,891
2013,2,0.0590992647058824,974
2013,3,0.0714285714285714,971
2013,4,0.04,971
2014,1,0.0678466076696165,978
2014,2,0.0625,1039
2014,3,0.0673684210526316,982
2014,4,0.0537419498112369,1030
2015,1,0.05,1145
2015,2,0.04,1244
2015,3,0.0506666666666667,1213
2015,4,0.0526315789473684,1149
2016,1,0.0666666666666667,1129
2016,2,0.0471613678867219,1216
2016,3,0.0205263157894737,1270
2016,4,0.0199353142554519,1230
2017,1,0.0339080459770115,1246
2017,2,0.00593477035784728,1276
2017,3,0,1420
2017,4,0.04,1252
2018,1,0.00508701472556894,1211
2018,2,0,1192
2018,3,0,1258
2018,4,0,1249
2019,1,0,1275
2019,2,0,1211
2019,3,0,1248
2019,4,0,1262
2020,1,0,1107
2020,2,0,1070
2020,3,0,1068
2020,4,0,1030
2021,1,0,998
2021,2,0,570
2021,3,0,759
2021,4,0,649
2022,1,0.00590794349857672,519
2022,2,0.0769230769230769,629
2022,3,0.101818181818182,885
2022,4,0.101818181818182,1003
2023,1,0.0742574257425743,1070
2023,2,0.0793619462933211,1108
2023,3,0.0778443113772455,1185
2023,4,0.0714285714285714,1173
2024,1,0.0844854070660522,1085
2024,2,0.0696969696969697,1235
2024,3,0.0672637501435297,1328
2024,4,0.066120218579235,1232
2025,1,0.0623229461756374,1192
2025,2,0.0690140845070423,1243
2025,3,0.0714285714285714,1241
