"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.090032154340836,165
2013,2,0.090032154340836,161
2013,3,0.090032154340836,149
2013,4,0.0770467474647539,160
2014,1,0.0782608695652174,147
2014,2,0.0625,171
2014,3,0.0678466076696165,237
2014,4,0.0678466076696165,189
2015,1,0.0803406998158379,252
2015,2,0.104972375690608,200
2015,3,0.0883977900552486,246
2015,4,0.0857142857142857,259
2016,1,0,202
2016,2,0.0352941176470588,296
2016,3,0.1,242
2016,4,0.1,266
2017,1,0.0702503681885125,318
2017,2,0.0647727272727273,244
2017,3,0.0647727272727273,312
2017,4,0.0647727272727273,274
2018,1,0.0613636363636364,291
2018,2,0.0181430096051227,271
2018,3,0.00421052631578947,235
2018,4,0.0181430096051227,328
2019,1,0.0461215932914046,243
2019,2,0.0461215932914046,184
2019,3,0.00628930817610063,242
2019,4,0,191
2020,1,0,246
2020,2,0,147
2020,3,0,201
2020,4,0.045,210
2021,1,0,173
2021,2,0,197
2021,3,0,116
2021,4,0,161
2022,1,0.101818181818182,117
2022,2,0.101818181818182,98
2022,3,0.101818181818182,191
2022,4,0.101818181818182,163
2023,1,0.0801282051282051,184
2023,2,0.0826502732240437,216
2023,3,0.0891089108910891,161
2023,4,0.0696969696969697,223
2024,1,0.05625,198
2024,2,0.0696969696969697,280
2024,3,0.0696969696969697,284
2024,4,0.0696969696969697,209
2025,1,0.075070821529745,247
2025,2,0.0690140845070423,215
