"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.000754408192729564,2628
2013,2,-0.0107355554932373,2812
2013,3,-0.0518659529007555,2901
2013,4,-0.0345740963698066,2879
2014,1,-0.0223688890991193,3051
2014,2,-0.0467569669957778,3007
2014,3,-0.0552556741166665,3331
2014,4,-0.0577244475487624,3206
2015,1,-0.0658943343472558,3591
2015,2,-0.0718511124668452,3796
2015,3,-0.0792640213066309,3602
2015,4,-0.0865239699256625,3791
2016,1,-0.0856293282485907,3665
2016,2,-0.0763071611497589,3996
2016,3,-0.0699668958156435,4207
2016,4,-0.0549761931887633,3929
2017,1,-0.0355181865650152,4124
2017,2,-0.0264805800501433,4263
2017,3,-0.0199650570213119,4472
2017,4,-0.0201455206220443,4633
2018,1,-0.0166638874516101,4358
2018,2,-0.0255171802501499,4508
2018,3,-0.030936562938971,4785
2018,4,-0.0343161606618847,4731
2019,1,-0.0352721586478229,4849
2019,2,-0.0395289019117162,4767
2019,3,-0.0282122918485474,5019
2019,4,-0.029414077510047,4812
2020,1,-0.0313298892321175,4506
2020,2,-0.0148132926518583,4283
2020,3,-0.0225177340499984,4265
2020,4,-0.0369186803699562,4484
2021,1,-0.049708184840889,3630
2021,2,-0.0746105532111127,2150
2021,3,-0.0887379037453049,2825
2021,4,-0.0904156656239411,2450
2022,1,-0.0878895806095171,2330
2022,2,-0.0414099636100653,2870
2022,3,-0.000226047909329436,3537
2022,4,0.0343133006596787,4257
2023,1,0.019506280354282,4529
2023,2,0.0333792328069991,4811
2023,3,0.00104137822319199,5030
2023,4,-0.0235871688880911,4885
2024,1,-0.025673408761001,5064
2024,2,0.0150940783330484,5270
2024,3,-0.0268198727213403,5452
2024,4,-0.026078858093644,5292
2025,1,-0.0201108956712413,5150
2025,2,-0.0127697494517105,5450
2025,3,-0.0418308204444809,5318
