"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.0154081678443788,21812
2013,2,0.0134917672372681,22801
2013,3,0.0173720795817649,22084
2013,4,0.0243485492638421,22573
2014,1,0.012761699405867,22623
2014,2,0.00549720100744145,22574
2014,3,-0.000702454640134296,23135
2014,4,-0.00689693256374676,23577
2015,1,-0.0185663139541835,24541
2015,2,-0.0254436680901878,24639
2015,3,-0.0443006671207554,24440
2015,4,-0.0545568654550399,23723
2016,1,-0.0732422525128769,24618
2016,2,-0.0415633890494298,26350
2016,3,-0.0286675211912975,25632
2016,4,-0.00279901991556099,24871
2017,1,-0.00373670938781134,25575
2017,2,0.00835765467830479,24402
2017,3,0.0118124564717162,24903
2017,4,0.00493141737066839,26834
2018,1,-0.00949566797199741,25114
2018,2,-0.017485836816053,25419
2018,3,-0.0293487135025876,25176
2018,4,-0.0304001784690734,25448
2019,1,-0.0334785564825939,24788
2019,2,-0.0357294299846375,24941
2019,3,-0.0241580538552453,25400
2019,4,-0.0258521581906749,23961
2020,1,-0.0303582820186635,22555
2020,2,-0.0140851672143465,18478
2020,3,-0.0212471617204182,18392
2020,4,-0.0360220606350387,18164
2021,1,-0.0497081848408889,14927
2021,2,-0.0737353488256904,8076
2021,3,-0.0880360244680407,11332
2021,4,-0.0904156656239411,10350
2022,1,-0.0412796842423033,9618
2022,2,-0.0202844550206465,12520
2022,3,0.00859741230532136,17238
2022,4,0.0355520859187255,19826
2023,1,0.0209812444400492,20023
2023,2,0.0414525729285665,21905
2023,3,0.032350387555949,21994
2023,4,0.0156785691191178,21096
2024,1,0.0284391190356145,20644
2024,2,0.0270818969374104,21791
2024,3,0.0210087667620536,23153
2024,4,0.013238876645572,21672
2025,1,0.0170840018303349,21591
2025,2,0.0192574532570399,22133
