"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.00300225744423267,1538
2013,2,0.00422898897752667,1560
2013,3,-0.000283892717931142,1623
2013,4,0.0121804133276589,1479
2014,1,0.00936831451398899,1582
2014,2,-0.0133857011342317,1508
2014,3,-0.0552556741166661,1456
2014,4,-0.0567836252287063,1521
2015,1,-0.0634111036224513,1478
2015,2,-0.0356174150177722,1573
2015,3,-0.071497055098785,1570
2015,4,-0.0822798047281206,1616
2016,1,-0.0899291165308755,1499
2016,2,-0.0528026055317787,1559
2016,3,-0.0699668958156435,1616
2016,4,-0.0516563835928867,1625
2017,1,-0.0350632909789603,1612
2017,2,-0.022131055101504,1669
2017,3,-0.0162934450969424,1647
2017,4,-0.0201455206220443,1587
2018,1,-0.0142821673413951,1629
2018,2,-0.0255171802501498,1682
2018,3,-0.0329733339669611,1581
2018,4,-0.0371964620862602,1679
2019,1,-0.0338059728238743,1694
2019,2,-0.0368971950919511,1710
2019,3,-0.0287183828444595,1674
2019,4,-0.0258521581906751,1535
2020,1,-0.0320855410517515,1492
2020,2,-0.01475579995896,1216
2020,3,-0.0225177340499983,1257
2020,4,-0.0365588756451459,1198
2021,1,-0.049708184840889,1076
2021,2,-0.0746105532111128,557
2021,3,-0.088737903745305,763
2021,4,-0.0921848273023601,723
2022,1,-0.0508575763661672,628
2022,2,-0.0176636744692182,791
2022,3,0.00834567119728197,1146
2022,4,0.0282917549927491,1336
2023,1,0.0182531934138113,1437
2023,2,0.0419211360012004,1478
2023,3,0.00364317121892943,1549
2023,4,-0.00806743744579646,1530
2024,1,0.0228716921832399,1453
2024,2,0.0181017680272542,1641
2024,3,0.0198700432848506,1598
2024,4,-0.0238560173655888,1527
2025,1,0.0136451323471283,1553
2025,2,0.010841926788115,1606
2025,3,0.00926327892927089,1671
