"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.348064806972494,22667
2013,2,0.335561100626581,23573
2013,3,0.331136361836955,23583
2013,4,0.339702944378577,23230
2014,1,0.346402128451587,23616
2014,2,0.364685026097096,24202
2014,3,0.296751409117918,24957
2014,4,0.299304687569883,25295
2015,1,0.285324967381993,25403
2015,2,0.279237989239682,25620
2015,3,0.277340924224521,25838
2015,4,0.236349062588048,25929
2016,1,0.234601452583391,25527
2016,2,0.239252371430169,26354
2016,3,0.249832892749344,26995
2016,4,0.23878959329686,27025
2017,1,0.229697319032374,26655
2017,2,0.244233766765946,26824
2017,3,0.241789690131451,27605
2017,4,0.247691759714464,27467
2018,1,0.237532250054245,26528
2018,2,0.233336331050128,26806
2018,3,0.242849743811591,26668
2018,4,0.23844224240357,26997
2019,1,0.232464593495509,26131
2019,2,0.257348892259997,25967
2019,3,0.252778852463286,26477
2019,4,0.265918443030749,25375
2020,1,0.229093768082055,23580
2020,2,0.194065577420662,19654
2020,3,0.184034174466883,19368
2020,4,0.169373819874256,19405
2021,1,0.133472275172063,15697
2021,2,0.192739601763518,8448
2021,3,0.176342209723347,11895
2021,4,0.181151707564147,10642
2022,1,0.352306148010353,9965
2022,2,0.356580316874693,12973
2022,3,0.368697641009777,18170
2022,4,0.396774420266005,20551
2023,1,0.359668266675033,21492
2023,2,0.322953551500804,22794
2023,3,0.336293738643491,22814
2023,4,0.267357648732731,22046
2024,1,0.293227810556452,22257
2024,2,0.30235969421245,23494
2024,3,0.294262208689474,24249
2024,4,0.319648198940169,23365
2025,1,0.289630154563599,23329
2025,2,0.331771779659876,24020
