"ano_final","trimestre","mediana_variacao","obs"
2013,1,-0.164539609196763,22667
2013,2,-0.157352698021672,23573
2013,3,-0.162784034566025,23583
2013,4,-0.171578530758612,23230
2014,1,-0.153143044774918,23616
2014,2,-0.161127688280737,24202
2014,3,-0.163340743494147,24957
2014,4,-0.169261107806359,25295
2015,1,-0.160272336064344,25403
2015,2,-0.167379978975979,25620
2015,3,-0.196737879677693,25838
2015,4,-0.233048122522786,25929
2016,1,-0.222102734416353,25527
2016,2,-0.206273987978531,26354
2016,3,-0.207001832606266,26995
2016,4,-0.196504490239864,27025
2017,1,-0.164836092873235,26655
2017,2,-0.152641623789546,26824
2017,3,-0.149688097028936,27605
2017,4,-0.166827207613255,27467
2018,1,-0.154318606592954,26528
2018,2,-0.16321869266129,26806
2018,3,-0.172080088518805,26668
2018,4,-0.174853811210019,26997
2019,1,-0.171440370322304,26131
2019,2,-0.176739058781471,25967
2019,3,-0.168468761574378,26477
2019,4,-0.168517084745606,25375
2020,1,-0.16397149623207,23580
2020,2,-0.143893440532039,19654
2020,3,-0.154211156517979,19368
2020,4,-0.184780396575384,19405
2021,1,-0.0636841721451842,15697
2021,2,-0.0789927084003775,8448
2021,3,-0.101355242100057,11895
2021,4,-0.107050171877322,10642
2022,1,-0.191535142277819,9965
2022,2,-0.197522281689214,12973
2022,3,-0.18865108737442,18170
2022,4,-0.154472426624709,20551
2023,1,-0.153046440806761,21492
2023,2,-0.146475919801653,22794
2023,3,-0.157964140583722,22814
2023,4,-0.173255012091965,22046
2024,1,-0.154467621549853,22257
2024,2,-0.134090425845493,23494
2024,3,-0.149531685312706,24249
2024,4,-0.159998574635061,23365
2025,1,-0.151170228201872,23329
2025,2,-0.147640082787696,24020
