"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.090032154340836,8639
2013,2,0.090032154340836,8878
2013,3,0.090032154340836,8812
2013,4,0.090032154340836,8723
2014,1,0.0678466076696165,8892
2014,2,0.0678466076696165,9197
2014,3,0.0678466076696165,9555
2014,4,0.0678466076696165,9636
2015,1,0.0678466076696165,9544
2015,2,0.0833333333333333,9835
2015,3,0.0625,9899
2015,4,0.0753424657534247,9841
2016,1,0.0588235294117647,9761
2016,2,0.0833333333333333,10194
2016,3,0.0979547900968784,10359
2016,4,0.0952380952380952,10259
2017,1,0.0647727272727273,10195
2017,2,0.0587570621468927,10381
2017,3,0.0582671957671958,10746
2017,4,0.0526315789473684,10801
2018,1,0.0181430096051227,10358
2018,2,0.0181430096051227,10643
2018,3,0.0181430096051227,10564
2018,4,0.00865490834878017,10748
2019,1,0,10286
2019,2,0.0248203285420945,10370
2019,3,0.00125,10415
2019,4,0,10224
2020,1,0,9413
2020,2,0,7936
2020,3,0,7698
2020,4,0,7790
2021,1,0,6213
2021,2,0,3403
2021,3,0,4800
2021,4,0,4312
2022,1,0.0606060606060606,3886
2022,2,0.101818181818182,5135
2022,3,0.101818181818182,7122
2022,4,0.101818181818182,8102
2023,1,0.0742574257425743,8538
2023,2,0.0769230769230769,9105
2023,3,0.0891089108910891,9190
2023,4,0.08,8959
2024,1,0.0762195121951219,8950
2024,2,0.0696969696969697,9602
2024,3,0.0696969696969697,9925
2024,4,0.0696969696969697,9609
2025,1,0.0696969696969697,9507
2025,2,0.075070821529745,9919
