"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.090032154340836,1002
2013,2,0.090032154340836,1038
2013,3,0.0829037800687285,1002
2013,4,0.090032154340836,1005
2014,1,0.0678466076696165,989
2014,2,0.0678466076696165,1071
2014,3,0.0678466076696165,1210
2014,4,0.0666666666666667,1117
2015,1,0.0714285714285714,1155
2015,2,0.0883977900552486,1199
2015,3,0.0486714022625625,1232
2015,4,0.0769230769230769,1053
2016,1,0.0876771558971895,1036
2016,2,0.078158178000247,1118
2016,3,0.1,1119
2016,4,0.1,1032
2017,1,0.0647727272727273,1068
2017,2,0.0647727272727273,1077
2017,3,0.0647727272727273,1160
2017,4,0.0647727272727273,1214
2018,1,0.0181430096051227,1173
2018,2,0.0181430096051227,1246
2018,3,0.0181430096051227,1226
2018,4,0.0181430096051227,1295
2019,1,0.0256410256410256,1339
2019,2,0.0416666666666667,1355
2019,3,0.0461215932914046,1361
2019,4,0,1299
2020,1,0.0410821643286573,1171
2020,2,0,1125
2020,3,0,1125
2020,4,0,1103
2021,1,0,1009
2021,2,0,582
2021,3,0,733
2021,4,0,665
2022,1,0.0666666666666667,512
2022,2,0.101818181818182,656
2022,3,0.101818181818182,960
2022,4,0.101818181818182,941
2023,1,0.0742574257425743,1070
2023,2,0.0891089108910891,1084
2023,3,0.0891089108910891,1102
2023,4,0.0891089108910891,1139
2024,1,0.0844854070660522,1125
2024,2,0.0696969696969697,1161
2024,3,0.0696969696969697,1166
2024,4,0.0696969696969697,1106
2025,1,0.075070821529745,1164
2025,2,0.075070821529745,1219
