ano,trimestre,classe 1,classe 2,classe 3,classe 4,classe 5,total_individuos
2012,1,0.557555142955703,0.08622491426716179,0.22689779022341267,0.006604979606744993,0.12271717294697754,394248
2012,2,0.5633528216693076,0.08031611836059548,0.22238310723883228,0.006382968154701292,0.12756498457656332,402634
2012,3,0.5295066300322542,0.10518954326444471,0.2234948034882332,0.006423465933978418,0.13538555728108947,401808
2012,4,0.5008336442052211,0.1199584827421692,0.23063141252572625,0.006055023055274291,0.14252143747160914,394053
2013,1,0.4828421073205054,0.13370354444976498,0.23033060031858027,0.0063691622120806415,0.14675458569906868,409316
2013,2,0.47190799760631624,0.14040933922745788,0.22737824064243384,0.005914232766442098,0.15439018975734997,414424
2013,3,0.47860300177902554,0.1431557395544598,0.21975597184911774,0.00603538574451863,0.15244990107287829,421017
2013,4,0.4815509546738286,0.13977232443650414,0.21983909173930702,0.005967738527597856,0.15286989062276238,425957
2014,1,0.4983714808370142,0.13928476659457506,0.21649559583606318,0.006096086153008005,0.13975207057933953,425847
2014,2,0.49265300244357935,0.1411631623447212,0.21481896143232773,0.005995131423686925,0.1453697423556848,430516
2014,3,0.49106425380090646,0.1388346795116105,0.21526837085642653,0.005852316819498845,0.1489803790115577,435554
2014,4,0.5001607938622685,0.1291565213396426,0.22102035190885286,0.006098681490329398,0.1435636513989066,435340
2015,1,0.5258996569966863,0.11737224579966281,0.21705947328643682,0.0061159234928201845,0.13355270042439393,430025
2015,2,0.5587338480479582,0.09777813575118803,0.21258557801838704,0.005990173629888735,0.12491226455257798,434545
2015,3,0.6073370682394459,0.06586383222700999,0.21666751853934207,0.006513492552040161,0.10361808844216192,449989
2015,4,0.6090136704132402,0.06236469776076888,0.21824851600392306,0.006644191694090155,0.10372892412797777,447609
2016,1,0.6134704528688298,0.06411072329086885,0.21395492231972782,0.006260666585921758,0.10220323493465168,454105
2016,2,0.6153156019905774,0.06449709633793853,0.20802285805202725,0.006275799280492871,0.10588864433896387,452532
2016,3,0.6229069062206087,0.06180834512644264,0.20916214719558396,0.006508917348616031,0.09961368410874859,455068
2016,4,0.6213273722210999,0.0643813296559478,0.20531142126852234,0.0066689211148099675,0.10231095573962003,455396
2017,1,0.6142993526907138,0.06355340683923878,0.21210903108963367,0.006451246447226707,0.1035869629331871,457741
2017,2,0.6166252826674944,0.06102292377954152,0.2133419057331619,0.006245288875094223,0.10276459894470802,451060
2017,3,0.6204969460723816,0.06335354298316012,0.20615641234879292,0.006253976175542951,0.10373912242012243,444837
2017,4,0.6259309887554724,0.0636069683372995,0.2031303929226689,0.006326182128649022,0.10100546785591019,440392
2018,1,0.6247936799359673,0.06450752248606068,0.20422633932810882,0.006091246602784699,0.10038121164707851,442274
2018,2,0.6240514054744988,0.06401041006920853,0.19964071442554612,0.005992699132878085,0.10630477089786847,434195
2018,3,0.6178582827960422,0.06369978569148693,0.20236879303269345,0.006397337102731293,0.10967580137704619,438620
2018,4,0.621579658612791,0.05893769347990684,0.19822166208225112,0.00585830801521962,0.11540267780983142,417356
2019,1,0.6378647858672927,0.060250990142241445,0.18721779019772022,0.005689144136970961,0.10897728965577468,389338
2019,2,0.6552697095435684,0.06028215767634855,0.17619615239532252,0.005609958506224066,0.1026420218785364,331375
2019,3,0.6829019125657989,0.05908675212498815,0.16482077915722312,0.005829762374481178,0.08736079377750862,326943
2019,4,0.7178983228511531,0.05916208071278826,0.14601022012578616,0.005729166666666666,0.07120020964360586,305280
2020,1,0.7516051611315104,0.060423803565201335,0.128429301113869,0.005928326734907383,0.05361340745451189,243745
2020,2,0.7459392655367232,0.060967514124293784,0.12851694915254236,0.006108757062146893,0.05846751412429379,141600
2020,3,0.7384915279652122,0.057993495380065256,0.13276560100516543,0.005847953216374269,0.06490142243318286,193401
2020,4,0.7087356824807375,0.05586863066270083,0.15492782846769282,0.006415904346849111,0.07405195404201974,169111
2021,1,0.6751496497799101,0.05376642187093343,0.175257148676632,0.005776651239632015,0.0900501284328924,176746
2021,2,0.6620395206448152,0.05100796708534136,0.1818685630428325,0.0055064663294214665,0.09957748289758948,225553
2021,3,0.6577662746125872,0.04968056875143335,0.1871244635193133,0.005877534973626445,0.09955115814303968,305230
2021,4,0.6569950860239014,0.05217434646463462,0.18265565810923334,0.005670423493262341,0.1025044859089683,341068
2022,1,0.6665651831451699,0.05008351442090151,0.18235192250755541,0.0057817676008736895,0.09521761232549955,358022
2022,2,0.6722907291340938,0.050912947126561796,0.17808111157940532,0.005857001074055443,0.09285821108588364,367765
2022,3,0.6881964389909531,0.04681259665879234,0.17238830067469962,0.005670649150535625,0.0869320145250194,353046
2022,4,0.6845122202625009,0.04767563048308404,0.17213161692283024,0.005863893533683029,0.08981663879790183,349256
2023,1,0.6894990395891748,0.04912297477058415,0.16786518813084086,0.006038073328702363,0.08747472418069785,355577
2023,2,0.687078586296594,0.0466434423899892,0.16828938856272044,0.005494788071708338,0.09249379467898798,369441
2023,3,0.691824907620414,0.044916651303467274,0.16638745721682952,0.005608235743618928,0.0912627481156702,374271
2023,4,0.6971581569537882,0.04494359808623251,0.16310235944710874,0.005657137369868895,0.08913874814300159,354066
2024,1,0.6994568831744624,0.04290622921746841,0.16606074041232544,0.0056223675459986695,0.08595377964974507,360880
2024,2,0.7037023649982483,0.04233697193476097,0.16212721944492328,0.005355027776078652,0.08647841584598874,359662
2024,3,0.7003870840759735,0.041854832536931535,0.16525154997649066,0.005680513487802478,0.08682601992280188,365812
