"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.090032154340836,902
2013,2,0.0845489555374023,926
2013,3,0.090032154340836,971
2013,4,0.090032154340836,949
2014,1,0.0678466076696165,930
2014,2,0.0625,931
2014,3,0.0678466076696165,1170
2014,4,0.0588235294117647,1105
2015,1,0.0559027777777778,1078
2015,2,0.05,1128
2015,3,0.0666666666666667,1089
2015,4,0.0123045023696682,1110
2016,1,0.0200119474313023,1116
2016,2,0.0434782608695652,1175
2016,3,0.0714285714285714,1255
2016,4,0.0666666666666667,1358
2017,1,0.0625,1272
2017,2,0.04,1251
2017,3,0.00418410041841004,1405
2017,4,0.0505681818181818,1444
2018,1,0.0181430096051227,1406
2018,2,0.0138740661686233,1377
2018,3,0,1448
2018,4,0,1553
2019,1,0,1515
2019,2,0,1519
2019,3,0,1545
2019,4,0,1548
2020,1,0,1387
2020,2,0,1134
2020,3,0,1119
2020,4,0,1208
2021,1,0,1197
2021,2,0,593
2021,3,0,885
2021,4,0,822
2022,1,0.101818181818182,781
2022,2,0.101818181818182,988
2022,3,0.101818181818182,1627
2022,4,0.101818181818182,1837
2023,1,0.0742574257425743,2089
2023,2,0.0891089108910891,2125
2023,3,0.0891089108910891,2192
2023,4,0.0726072607260726,2208
2024,1,0.0714285714285714,2090
2024,2,0.0696969696969697,2255
2024,3,0.0696969696969697,2428
2024,4,0.0666666666666667,2338
2025,1,0.0690140845070423,2311
2025,2,0.075070821529745,2247
