"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.0230167834030001,8639
2013,2,0.0134917672372681,8878
2013,3,0.0218392997127723,8812
2013,4,0.0296037698340404,8723
2014,1,0.0130223047597304,8892
2014,2,0.00585082589488522,9197
2014,3,0.00341404935958113,9555
2014,4,0.000694323726694828,9636
2015,1,-0.00620696007280716,9544
2015,2,-0.00579590293234399,9835
2015,3,-0.0308042329543485,9899
2015,4,-0.0280531388182401,9841
2016,1,-0.0391017307474445,9761
2016,2,-0.0105003911218786,10194
2016,3,0.00580319875186496,10359
2016,4,0.0187787095190746,10259
2017,1,0.00758446436914531,10195
2017,2,0.0153590910714623,10381
2017,3,0.0273183319000295,10746
2017,4,0.0237916614460848,10801
2018,1,-0.00197235138045382,10358
2018,2,-0.0145428087356777,10643
2018,3,-0.0243342234718588,10564
2018,4,-0.0262755554393497,10748
2019,1,-0.032204787607751,10286
2019,2,-0.0166234005461054,10370
2019,3,-0.0241580538552452,10415
2019,4,-0.0240972530614887,10224
2020,1,-0.0303582820186634,9413
2020,2,-0.0135474886193989,7936
2020,3,-0.0198754135609091,7698
2020,4,-0.0351343150259886,7790
2021,1,-0.0497081848408889,6213
2021,2,-0.0737353488256903,3403
2021,3,-0.0880360244680406,4800
2021,4,-0.090415665623941,4312
2022,1,-0.0449338949946133,3886
2022,2,-0.0202844550206465,5135
2022,3,0.0140426318560821,7122
2022,4,0.0381190128676762,8102
2023,1,0.0233475333327456,8538
2023,2,0.044962218820971,9105
2023,3,0.0355078813102739,9190
2023,4,0.0320612591280735,8959
2024,1,0.030353226154968,8950
2024,2,0.0299718772422566,9602
2024,3,0.0201324481728902,9925
2024,4,0.0136595657158396,9609
2025,1,0.0170840018303349,9507
2025,2,0.0200434219900998,9919
