"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.090032154340836,14104
2013,2,0.090032154340836,14670
2013,3,0.0848,14909
2013,4,0.0888888888888889,14691
2014,1,0.0678466076696165,14933
2014,2,0.0678466076696165,15495
2014,3,0.0678466076696165,15940
2014,4,0.0526315789473684,16143
2015,1,0.0555555555555556,16371
2015,2,0.0589318600368324,16450
2015,3,0.0454545454545455,16438
2015,4,0.0333333333333333,16594
2016,1,0.0152284263959391,16319
2016,2,0.0416666666666667,17141
2016,3,0.0579466829466829,17566
2016,4,0.0625,17531
2017,1,0.0411111111111111,17405
2017,2,0.0411111111111111,17408
2017,3,0.0280373831775701,18009
2017,4,0.0238795518207283,17766
2018,1,0,17314
2018,2,0.00108973980765827,17514
2018,3,0,17473
2018,4,0,17682
2019,1,0,17046
2019,2,0,17043
2019,3,0,17472
2019,4,0,16854
2020,1,0,15519
2020,2,0,12972
2020,3,0,12796
2020,4,0,12889
2021,1,0,10576
2021,2,0,5824
2021,3,0,8109
2021,4,0,7298
2022,1,0.0526315789473684,6635
2022,2,0.101818181818182,8401
2022,3,0.101818181818182,12050
2022,4,0.101818181818182,13419
2023,1,0.0742574257425743,14168
2023,2,0.0742574257425743,15104
2023,3,0.0769230769230769,15091
2023,4,0.0555555555555556,14590
2024,1,0.0714285714285714,14563
2024,2,0.0696969696969697,15680
2024,3,0.0696969696969697,16189
2024,4,0.0696969696969697,15471
2025,1,0.0666666666666667,15341
2025,2,0.075070821529745,15886
