"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.0833333333333333,1256
2013,2,0.090032154340836,1229
2013,3,0.0833333333333333,1264
2013,4,0.0666666666666667,1249
2014,1,0.0678466076696165,1179
2014,2,0.0678466076696165,1243
2014,3,0.0342857142857143,1342
2014,4,0.0269886908184781,1398
2015,1,0.05,1446
2015,2,0.0359116022099447,1354
2015,3,0,1529
2015,4,0.0177377220480669,1304
2016,1,0,1374
2016,2,0.0454545454545455,1349
2016,3,0,1488
2016,4,0.0352941176470588,1314
2017,1,0.0330308529945554,1410
2017,2,0.0411111111111111,1401
2017,3,0,1351
2017,4,0,1258
2018,1,0,1232
2018,2,0,1239
2018,3,0,1203
2018,4,0,1233
2019,1,0,1177
2019,2,0,1214
2019,3,0,1220
2019,4,0,1183
2020,1,0,1075
2020,2,0,946
2020,3,0,892
2020,4,0,921
2021,1,0,954
2021,2,0,547
2021,3,0,718
2021,4,0,699
2022,1,0.0606617647058824,634
2022,2,0.101818181818182,784
2022,3,0.0979452054794521,1166
2022,4,0.101818181818182,1251
2023,1,0.0742574257425743,1356
2023,2,0.056,1489
2023,3,0.079136690647482,1375
2023,4,0.0173281537275369,1344
2024,1,0.0696969696969697,1332
2024,2,0.0696969696969697,1515
2024,3,0.0666666666666667,1453
2024,4,0.025879917184265,812
2025,1,0.0714285714285714,775
2025,2,0.075070821529745,749
