"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.090032154340836,2529
2013,2,0.090032154340836,2643
2013,3,0.090032154340836,2620
2013,4,0.090032154340836,2731
2014,1,0.0678466076696165,2780
2014,2,0.0678466076696165,2989
2014,3,0.0678466076696165,3143
2014,4,0.0666666666666667,3341
2015,1,0.0655733775811209,3290
2015,2,0.064258064516129,3230
2015,3,0.0506666666666667,3506
2015,4,0.0625,3393
2016,1,0.04,3384
2016,2,0.0666666666666667,3448
2016,3,0.0625,3564
2016,4,0.0833333333333333,3765
2017,1,0.0647727272727273,3691
2017,2,0.0588235294117647,3769
2017,3,0.0272222222222222,4022
2017,4,0.0377551020408163,4057
2018,1,0.0181430096051227,4003
2018,2,0,4006
2018,3,0.0148936170212766,3933
2018,4,0,4253
2019,1,0,3983
2019,2,0,4080
2019,3,0,4113
2019,4,0,4078
2020,1,0,3822
2020,2,0,3076
2020,3,0,3026
2020,4,0,3084
2021,1,0,2611
2021,2,0,1345
2021,3,0,1962
2021,4,0,1814
2022,1,0.0666666666666667,1341
2022,2,0.101818181818182,1859
2022,3,0.101818181818182,2674
2022,4,0.101818181818182,3052
2023,1,0.0742574257425743,3273
2023,2,0.0742574257425743,3454
2023,3,0.0891089108910891,3573
2023,4,0.0769230769230769,3364
2024,1,0.0696969696969697,3349
2024,2,0.0696969696969697,3530
2024,3,0.0696969696969697,3622
2024,4,0.0696969696969697,3498
2025,1,0.0690140845070423,3440
2025,2,0.0714285714285714,3651
2025,3,0.0714285714285714,3702
