"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.0833333333333333,2888
2013,2,0.090032154340836,3052
2013,3,0.090032154340836,3060
2013,4,0.090032154340836,3095
2014,1,0.0678466076696165,2981
2014,2,0.0678466076696165,3156
2014,3,0.0666666666666667,3278
2014,4,0.0666666666666667,3285
2015,1,0.0555555555555556,3264
2015,2,0.0666666666666667,3340
2015,3,0.0227272727272727,3628
2015,4,0.0344827586206897,3471
2016,1,0.0336294416243655,3434
2016,2,0.0575817860300619,3606
2016,3,0.0588235294117647,3516
2016,4,0.0666666666666667,3593
2017,1,0.0647727272727273,3532
2017,2,0.0411111111111111,3642
2017,3,0.0411111111111111,3802
2017,4,0.038,3887
2018,1,0.0127388535031847,3648
2018,2,0,3645
2018,3,0,3626
2018,4,0,3851
2019,1,0,3597
2019,2,0,3509
2019,3,0,3637
2019,4,0,3462
2020,1,0,3309
2020,2,0,2810
2020,3,0,2790
2020,4,0,2844
2021,1,0,2388
2021,2,0,1266
2021,3,0,1827
2021,4,0,1570
2022,1,0.0769230769230769,1237
2022,2,0.101818181818182,1697
2022,3,0.101818181818182,2353
2022,4,0.101818181818182,2703
2023,1,0.0742574257425743,2853
2023,2,0.0742574257425743,3003
2023,3,0.0891089108910891,3123
2023,4,0.0833333333333333,2941
2024,1,0.0666666666666667,2963
2024,2,0.0696969696969697,3095
2024,3,0.0696969696969697,3233
2024,4,0.0696969696969697,3005
2025,1,0.0666666666666667,3067
2025,2,0.0690140845070423,3146
2025,3,0.075070821529745,3194
