"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.090032154340836,16479
2013,2,0.090032154340836,17078
2013,3,0.0794884376336781,17022
2013,4,0.0833333333333333,16847
2014,1,0.0678466076696165,17136
2014,2,0.0678466076696165,17571
2014,3,0.0666666666666667,18251
2014,4,0.0477568740955137,18373
2015,1,0.0506666666666667,18423
2015,2,0.0506666666666667,18582
2015,3,0.0326086956521739,18717
2015,4,0.00666666666666667,18973
2016,1,0.00558659217877095,18567
2016,2,0.0362694300518135,19067
2016,3,0.0442678774120318,19679
2016,4,0.0526315789473684,19692
2017,1,0.0411111111111111,19500
2017,2,0.0411111111111111,19545
2017,3,0.0256410256410256,20177
2017,4,0.035,19919
2018,1,0.0127388535031847,19288
2018,2,0,19289
2018,3,0,19224
2018,4,0,19403
2019,1,0,18760
2019,2,0,18697
2019,3,0,18882
2019,4,0,18038
2020,1,0,16771
2020,2,0,14107
2020,3,0,13894
2020,4,0,13946
2021,1,0,11131
2021,2,0,6043
2021,3,0,8518
2021,4,0,7481
2022,1,0.0625,7074
2022,2,0.101818181818182,9255
2022,3,0.101818181818182,12730
2022,4,0.101818181818182,14462
2023,1,0.0742574257425743,14983
2023,2,0.0742574257425743,15728
2023,3,0.0726072607260726,15748
2023,4,0.0615384615384615,15343
2024,1,0.0696969696969697,15514
2024,2,0.0696969696969697,16416
2024,3,0.0696969696969697,16921
2024,4,0.0696969696969697,16489
2025,1,0.0690140845070423,16294
2025,2,0.0717839374555792,16749
