"ano_final","trimestre","mediana_variacao","obs"
2013,1,0.090032154340836,21812
2013,2,0.090032154340836,22801
2013,3,0.090032154340836,22084
2013,4,0.090032154340836,22573
2014,1,0.0678466076696165,22623
2014,2,0.0678466076696165,22574
2014,3,0.0678466076696165,23135
2014,4,0.0619469026548673,23577
2015,1,0.0588235294117647,24541
2015,2,0.0588235294117647,24639
2015,3,0.0476190476190476,24440
2015,4,0.0416666666666667,23723
2016,1,0.0154643284176963,24618
2016,2,0.0467882896154013,26350
2016,3,0.0588235294117647,25632
2016,4,0.0666666666666667,24871
2017,1,0.0526315789473684,25575
2017,2,0.0411111111111111,24402
2017,3,0.0411111111111111,24903
2017,4,0.0300976909413854,26834
2018,1,0.00643776824034335,25114
2018,2,0.00421052631578947,25419
2018,3,0,25176
2018,4,0,25448
2019,1,0,24788
2019,2,0,24941
2019,3,0,25400
2019,4,0,23961
2020,1,0,22555
2020,2,0,714
2020,3,0,588
2020,4,0,18164
2021,1,0,14927
2021,2,0,8076
2021,3,0,11332
2021,4,0,10350
2022,1,0.0625,9618
2022,2,0.101818181818182,12520
2022,3,0.101818181818182,17238
2022,4,0.101818181818182,19826
2023,1,0.0742574257425743,20023
2023,2,0.0742574257425743,21905
2023,3,0.0787086083865623,21994
2023,4,0.0640931114388034,21096
2024,1,0.0714285714285714,20644
2024,2,0.0696969696969697,21791
2024,3,0.0696969696969697,23153
2024,4,0.0696969696969697,21672
2025,1,0.0690140845070423,21591
2025,2,0.075070821529745,22133
